millis,time,data,min,max
804224,2.65,1261,,
804235,2.661,1258,,
804246,2.672,1248,,
804254,2.68,1249,,
804265,2.691,1251,,
804276,2.702,1246,,
804284,2.71,1247,,
804295,2.721,1241,,
804306,2.732,1235,,
804314,2.74,1233,,
804325,2.751,1228,,
804336,2.762,1223,,
804344,2.77,1222,,
804355,2.781,1223,,
804366,2.792,1217,,
804374,2.8,1209,,
804385,2.811,1209,,
804396,2.822,1213,,
804404,2.83,1211,,
804415,2.841,1210,,
804426,2.852,1215,,
804434,2.86,1222,,
804445,2.871,1227,,
804456,2.882,1236,,
804464,2.89,1233,,
804475,2.901,1237,,
804486,2.912,1254,,
804494,2.92,1260,,
804505,2.931,1265,,
804516,2.942,1274,,
804524,2.95,1280,,
804535,2.961,1284,,
804546,2.972,1282,,
804554,2.98,1282,,
804565,2.991,1291,,
804576,3.002,1299,,
804586,3.012,1303,,
804594,3.02,1313,,
804605,3.031,1314,,
804616,3.042,1303,,
804624,3.05,1303,,
804635,3.061,1295,,
804646,3.072,1285,,
804654,3.08,1283,,
804665,3.091,1269,,
804676,3.102,1240,,
804684,3.11,1235,,
804695,3.121,1219,,
804705,3.131,1190,,
804715,3.141,1170,,
804726,3.152,1146,,
804734,3.16,1136,,
804745,3.171,1113,,
804756,3.182,1085,,
804764,3.19,1074,,
804775,3.201,1055,,
804786,3.212,1038,,
804794,3.22,1032,,
804805,3.231,1024,,
804816,3.242,1019,,
804824,3.25,1021,,
804835,3.261,1019,,
804846,3.272,1019,,
804854,3.28,1016,,
804865,3.291,1015,,
804876,3.302,1026,,
804884,3.31,1031,,
804895,3.321,1038,,
804906,3.332,1044,,
804916,3.342,1060,,
804924,3.35,1068,,
804935,3.361,1072,,
804946,3.372,1079,,
804954,3.38,1090,,
804965,3.391,1101,,
804976,3.402,1116,,
804984,3.41,1118,,
804995,3.421,1129,,
805006,3.432,1148,,
805014,3.44,1157,,
805025,3.451,1172,,
805036,3.462,1194,,
805044,3.47,1204,,
805055,3.481,1216,,
805066,3.492,1226,,
805074,3.5,1234,,
805085,3.511,1260,,
805096,3.522,1283,,
805104,3.53,1291,,
805115,3.541,1311,,
805126,3.552,1334,,
805134,3.56,1343,,
805145,3.571,1356,,
805156,3.582,1369,,
805166,3.592,1390,,
805174,3.6,1407,,
805185,3.611,1422,,
805196,3.622,1432,,
805204,3.63,1437,,
805214,3.64,1458,,
805225,3.651,1477,,
805236,3.662,1494,,
805244,3.67,1498,,
805255,3.681,1521,,
805266,3.692,1545,,
805274,3.7,1554,,
805285,3.711,1573,,
805296,3.722,1591,,
805304,3.73,1603,,
805315,3.741,1619,,
805326,3.752,1625,,
805334,3.76,1641,,
805345,3.771,1663,,
805356,3.782,1672,,
805364,3.79,1677,,
805375,3.801,1691,,
805386,3.812,1708,,
805394,3.82,1716,,
805405,3.831,1724,,
805416,3.842,1727,,
805424,3.85,1735,,
805435,3.861,1752,,
805446,3.872,1759,,
805454,3.88,1760,,
805465,3.891,1765,,
805476,3.902,1776,,
805484,3.91,1779,,
805495,3.921,1780,,
805506,3.932,1778,,
805514,3.94,1780,,
805525,3.951,1788,,
805536,3.962,1791,,
805546,3.972,1796,,
805554,3.98,1799,,
805565,3.991,1798,,
805576,4.002,1799,,
805584,4.01,1797,,
805595,4.021,1791,,
805606,4.032,1789,,
805614,4.04,1785,,
805625,4.051,1783,,
805636,4.062,1776,,
805644,4.07,1773,,
805655,4.081,1768,,
805666,4.092,1757,,
805674,4.1,1751,,
805685,4.111,1736,,
805696,4.122,1716,,
805704,4.13,1705,,
805715,4.141,1683,,
805726,4.152,1663,,
805734,4.16,1653,,
805745,4.171,1632,,
805756,4.182,1616,,
805764,4.19,1600,,
805775,4.201,1575,,
805786,4.212,1560,,
805794,4.22,1549,,
805805,4.231,1528,,
805816,4.242,1510,,
805824,4.25,1506,,
805835,4.261,1488,,
805846,4.272,1460,,
805856,4.282,1441,,
805864,4.29,1443,,
805874,4.3,1436,,
805885,4.311,1428,,
805896,4.322,1407,,
805904,4.33,1397,,
805915,4.341,1387,,
805926,4.352,1373,,
805934,4.36,1370,,
805945,4.371,1357,,
805956,4.382,1343,,
805964,4.39,1336,,
805975,4.401,1327,,
805986,4.412,1326,,
805994,4.42,1327,,
806005,4.431,1321,,
806016,4.442,1310,,
806024,4.45,1301,,
806035,4.461,1295,,
806046,4.472,1291,,
806054,4.48,1288,,
806065,4.491,1280,,
806076,4.502,1273,,
806084,4.51,1271,,
806095,4.521,1265,,
806106,4.532,1251,,
806114,4.54,1243,,
806125,4.551,1240,,
806136,4.562,1233,,
806144,4.57,1226,,
806155,4.581,1220,,
806166,4.592,1220,,
806174,4.6,1219,,
806185,4.611,1211,,
806196,4.622,1201,,
806204,4.63,1200,,
806215,4.641,1208,,
806226,4.652,1206,,
806236,4.662,1198,,
806244,4.67,1192,,
806255,4.681,1190,,
806266,4.692,1192,,
806274,4.7,1192,,
806285,4.711,1196,,
806296,4.722,1204,,
806304,4.73,1208,,
806315,4.741,1211,,
806325,4.751,1206,,
806336,4.762,1210,,
806344,4.77,1224,,
806355,4.781,1245,,
806366,4.792,1247,,
806374,4.8,1257,,
806385,4.811,1269,,
806396,4.822,1268,,
806404,4.83,1267,,
806415,4.841,1268,,
806426,4.852,1268,,
806434,4.86,1265,,
806445,4.871,1248,,
806456,4.882,1227,,
806464,4.89,1217,,
806475,4.901,1202,,
806486,4.912,1179,,
806494,4.92,1170,,
806505,4.931,1142,,
806516,4.942,1114,,
806524,4.95,1101,,
806535,4.961,1081,,
806546,4.972,1065,,
806554,4.98,1065,,
806565,4.991,1061,,
806576,5.002,1051,,
806584,5.01,1053,,
806595,5.021,1052,,
806606,5.032,1049,,
806614,5.04,1046,,
806625,5.051,1044,,
806636,5.062,1044,,
806644,5.07,1047,,
806655,5.081,1051,,
806666,5.092,1059,,
806674,5.1,1060,,
806685,5.111,1058,,
806696,5.122,1060,,
806704,5.13,1063,,
806714,5.14,1071,,
806725,5.151,1075,,
806736,5.162,1089,,
806744,5.17,1105,,
806755,5.181,1115,,
806766,5.192,1130,,
806774,5.2,1141,,
806785,5.211,1160,,
806795,5.221,1174,,
806806,5.232,1186,,
806814,5.24,1195,,
806825,5.251,1217,,
806835,5.261,1243,,
806846,5.272,1250,,
806854,5.28,1254,,
806865,5.291,1273,,
806876,5.302,1294,,
806884,5.31,1311,,
806895,5.321,1330,,
806906,5.332,1343,,
806914,5.34,1353,,
806925,5.351,1371,,
806936,5.362,1398,,
806944,5.37,1408,,
806955,5.381,1420,,
806966,5.392,1437,,
806974,5.4,1449,,
806985,5.411,1469,,
806996,5.422,1488,,
807004,5.43,1497,,
807015,5.441,1514,,
807026,5.452,1533,,
807034,5.46,1547,,
807045,5.471,1563,,
807056,5.482,1581,,
807064,5.49,1581,,
807075,5.501,1593,,
807086,5.512,1618,,
807094,5.52,1627,,
807105,5.531,1641,,
807116,5.542,1657,,
807124,5.55,1668,,
807135,5.561,1680,,
807146,5.572,1682,,
807154,5.58,1695,,
807165,5.591,1714,,
807176,5.602,1719,,
807184,5.61,1723,,
807194,5.62,1732,,
807205,5.631,1744,,
807216,5.642,1751,,
807224,5.65,1754,,
807235,5.661,1763,,
807246,5.672,1768,,
807254,5.68,1775,,
807265,5.691,1781,,
807276,5.702,1774,,
807284,5.71,1772,,
807295,5.721,1784,,
807306,5.732,1791,,
807314,5.74,1790,,
807325,5.751,1791,,
807336,5.762,1793,,
807344,5.77,1793,,
807355,5.781,1784,,
807365,5.791,1760,,
807376,5.802,1757,,
807384,5.81,1760,,
807395,5.821,1753,,
807406,5.832,1747,,
807414,5.84,1737,,
807425,5.851,1722,,
807436,5.862,1712,,
807444,5.87,1703,,
807455,5.881,1690,,
807466,5.892,1682,,
807474,5.9,1676,,
807485,5.911,1657,,
807496,5.922,1635,,
807504,5.93,1626,,
807515,5.941,1618,,
807526,5.952,1604,,
807534,5.96,1593,,
807545,5.971,1579,,
807556,5.982,1568,,
807564,5.99,1558,,
807575,6.001,1545,,
807586,6.012,1538,,
807594,6.02,1531,,
807605,6.031,1515,,
807616,6.042,1500,,
807624,6.05,1488,,
807635,6.061,1476,,
807646,6.072,1468,,
807654,6.08,1460,,
807665,6.091,1449,,
807676,6.102,1443,,
807684,6.11,1440,,
807695,6.121,1427,,
807706,6.132,1418,,
807714,6.14,1410,,
807725,6.151,1406,,
807736,6.162,1402,,
807744,6.17,1396,,
807755,6.181,1384,,
807766,6.192,1374,,
807774,6.2,1374,,
807785,6.211,1368,,
807796,6.222,1366,,
807804,6.23,1363,,
807815,6.241,1357,,
807826,6.252,1352,,
807834,6.26,1348,,
807845,6.271,1343,,
807856,6.282,1338,,
807864,6.29,1336,,
807875,6.301,1331,,
807886,6.312,1317,,
807894,6.32,1317,,
807905,6.331,1324,,
807916,6.342,1321,,
807924,6.35,1325,,
807935,6.361,1323,,
807946,6.372,1317,,
807954,6.38,1312,,
807965,6.391,1300,,
807976,6.402,1293,,
807986,6.412,1289,,
807994,6.42,1288,,
808005,6.431,1280,,
808016,6.442,1266,,
808024,6.45,1260,,
808035,6.461,1261,,
808046,6.472,1260,,
808054,6.48,1255,,
808065,6.491,1251,,
808076,6.502,1253,,
808084,6.51,1250,,
808095,6.521,1248,,
808106,6.532,1244,,
808114,6.54,1242,,
808125,6.551,1241,,
808136,6.562,1235,,
808144,6.57,1227,,
808155,6.581,1227,,
808166,6.592,1232,,
808174,6.6,1231,,
808185,6.611,1228,,
808196,6.622,1231,,
808204,6.63,1234,,
808215,6.641,1236,,
808226,6.652,1243,,
808234,6.66,1253,,
808245,6.671,1253,,
808256,6.682,1252,,
808264,6.69,1257,,
808275,6.701,1264,,
808286,6.712,1268,,
808294,6.72,1274,,
808305,6.731,1279,,
808316,6.742,1276,,
808326,6.752,1275,,
808334,6.76,1277,,
808345,6.771,1285,,
808356,6.782,1302,,
808364,6.79,1299,,
808375,6.801,1299,,
808386,6.812,1306,,
808394,6.82,1308,,
808405,6.831,1310,,
808416,6.842,1312,,
808424,6.85,1314,,
808435,6.861,1306,,
808446,6.872,1291,,
808454,6.88,1284,,
808465,6.891,1280,,
808476,6.902,1274,,
808484,6.91,1272,,
808495,6.921,1259,,
808506,6.932,1241,,
808514,6.94,1235,,
808525,6.951,1219,,
808536,6.962,1208,,
808544,6.97,1202,,
808555,6.981,1178,,
808566,6.992,1160,,
808576,7.002,1154,,
808584,7.01,1145,,
808594,7.02,1134,,
808605,7.031,1120,,
808616,7.042,1113,,
808624,7.05,1107,,
808635,7.061,1094,,
808646,7.072,1094,,
808654,7.08,1094,,
808665,7.091,1092,,
808676,7.102,1089,,
808684,7.11,1093,,
808695,7.121,1094,,
808706,7.132,1093,,
808714,7.14,1090,,
808725,7.151,1091,,
808736,7.162,1095,,
808744,7.17,1095,,
808755,7.181,1099,,
808766,7.192,1109,,
808776,7.202,1118,,
808784,7.21,1116,,
808795,7.221,1122,,
808806,7.232,1133,,
808814,7.24,1143,,
808825,7.251,1152,,
808836,7.262,1151,,
808844,7.27,1162,,
808855,7.281,1179,,
808866,7.292,1184,,
808874,7.3,1190,,
808885,7.311,1203,,
808895,7.321,1219,,
808906,7.332,1232,,
808914,7.34,1235,,
808925,7.351,1245,,
808936,7.362,1260,,
808944,7.37,1265,,
808955,7.381,1278,,
808966,7.392,1298,,
808974,7.4,1304,,
808985,7.411,1316,,
808996,7.422,1333,,
809004,7.43,1346,,
809014,7.44,1360,,
809025,7.451,1370,,
809036,7.462,1386,,
809044,7.47,1392,,
809055,7.481,1407,,
809066,7.492,1423,,
809074,7.5,1436,,
809085,7.511,1452,,
809096,7.522,1455,,
809104,7.53,1459,,
809115,7.541,1485,,
809126,7.552,1510,,
809134,7.56,1516,,
809145,7.571,1526,,
809156,7.582,1548,,
809164,7.59,1557,,
809175,7.601,1570,,
809186,7.612,1577,,
809194,7.62,1584,,
809205,7.631,1605,,
809216,7.642,1622,,
809224,7.65,1633,,
809234,7.66,1643,,
809245,7.671,1648,,
809256,7.682,1661,,
809264,7.69,1669,,
809275,7.701,1681,,
809286,7.712,1698,,
809294,7.72,1705,,
809305,7.731,1713,,
809315,7.741,1705,,
809326,7.752,1705,,
809334,7.76,1721,,
809345,7.771,1745,,
809356,7.782,1738,,
809364,7.79,1750,,
809375,7.801,1762,,
809386,7.812,1757,,
809394,7.82,1758,,
809405,7.831,1762,,
809416,7.842,1768,,
809424,7.85,1770,,
809435,7.861,1765,,
809445,7.871,1741,,
809456,7.882,1738,,
809464,7.89,1747,,
809475,7.901,1738,,
809486,7.912,1711,,
809494,7.92,1699,,
809505,7.931,1693,,
809516,7.942,1682,,
809524,7.95,1674,,
809535,7.961,1660,,
809546,7.972,1645,,
809554,7.98,1638,,
809565,7.991,1619,,
809576,8.002,1594,,
809584,8.01,1588,,
809595,8.021,1577,,
809606,8.032,1560,,
809614,8.04,1559,,
809625,8.051,1545,,
809636,8.062,1528,,
809644,8.07,1519,,
809655,8.081,1500,,
809666,8.092,1481,,
809674,8.1,1473,,
809685,8.111,1462,,
809696,8.122,1449,,
809706,8.132,1445,,
809714,8.14,1446,,
809725,8.151,1436,,
809736,8.162,1424,,
809744,8.17,1424,,
809755,8.181,1412,,
809766,8.192,1398,,
809774,8.2,1392,,
809785,8.211,1386,,
809796,8.222,1389,,
809804,8.23,1387,,
809815,8.241,1376,,
809826,8.252,1377,,
809834,8.26,1369,,
809845,8.271,1358,,
809856,8.282,1363,,
809864,8.29,1360,,
809875,8.301,1352,,
809885,8.311,1346,,
809896,8.322,1336,,
809904,8.33,1330,,
809915,8.341,1318,,
809926,8.352,1311,,
809934,8.36,1310,,
809945,8.371,1313,,
